AMD R5 9600代理盒裝【6核/12緒】3.8G(↑5.2G)65W/具RDNA內顯,$7250 ◆ ★
AMD R5 9600X代理盒裝【6核/12緒】3.9G(↑5.4G)65W/具RDNA內顯,$7450 ◆ ★
[共襄盛舉搭購價]微星 MAG A750BN PCIE5 750W 雙8/銅牌/ATX3.0/5年保 現省500！,$1790 ★
AMD R7 9700X代理盒裝【8核/16緒】3.8G(↑5.5G)65W/具RDNA內顯,$10500 ◆ ★
[共襄盛舉搭購價]微星 MAG A750BN PCIE5 750W 雙8/銅牌/ATX3.0/5年保 現省500！,$1790 ★
AMD R7 9800X3D代理盒裝【8核/16緒】4.7G(↑5.2G)120W/96M/具RDNA內顯,$15700 ◆ ★
AMD R9 9900X代理盒裝【12核/24緒】4.4G(↑5.6G)120W/具內顯,$13750 ◆ ★
AMD R9 9900X3D代理盒裝【12核/24緒】4.4G(↑5.5G)120W/具內顯,$19750 ◆ ★
AMD R9 9950X代理盒裝【16核/32緒】4.3G(↑5.7G)170W/具內顯,$19450 ◆ ★
AMD R9 9950X3D代理盒裝【16核/32緒】4.3G(↑5.7G)170W/具內顯,$22950 ◆ ★
AMD Ryzen TR 9960X盒【24核/48緒】4.2G(↑5.4G)350W/128M/4nm,$49960 ★
AMD Ryzen TR 9970X盒【32核/64緒】4.0G(↑5.4G)350W/128M/4nm,$83970 ★
AMD Ryzen TR 9980X盒【64核/128緒】3.2G(↑5.4G)350W/256M/4nm,$168980 ★
AMD Ryzen TR PRO 9955WX盒【16核/32緒】4.5G(↑5.4G)350W/64M/4nm,$53550 ◆ ★
AMD Ryzen TR PRO 9965WX盒【24核/48緒】4.2G(↑5.4G)350W/128M/4nm,$94650 ◆ ★
AMD Ryzen TR PRO 9975WX盒【32核/64緒】4.0G(↑5.4G)350W/128M/4nm,$139750 ◆ ★
AMD Ryzen TR PRO 9985WX盒【64核/128緒】3.2G(↑5.4G)350W/256M/4nm,$269850 ◆ ★
AMD Ryzen TR PRO 9995WX盒【96核/192緒】2.5G(↑5.4G)350W/384M/4nm,$389950 ◆ ★
華碩 PRO WS W680M-ACE SE(M-ATX/雙Intel 2.5Gb+LAN 1Gb) *支援BMC遠端管理,$12990 ◆ ★
華碩 PRO WS W680-ACE(ATX/1A1H1P/雙Intel 2.5Gb/註四年) 穩定.可靠性高,$9990 ◆ ★
華碩 PRO WS W680-ACE IPMI(ATX/1A1H1P/雙Intel 2.5Gb/註四年)附華碩IPMI擴展卡,$13990 ◆ ★
華碩 PRO WS Z890-ACE SE(ATX/M 10Gb+Intel 2.5Gb+LAN 1Gb)16+2+1+2相.BMC遠端管理,$16990 ◆ ★
華碩 PRO WS W880-ACE SE(ATX/雙Intel 2.5Gb+LAN 1Gb/註四年)8+1+2+2相.BMC遠端管理,$16990 ◆ ★
華碩 Pro WS W790-ACE(CEB/8*DDR5/Marvell 10Gb+Intel 2.5Gb/註四年)IPMI遠程管理,$27990 ◆ ★
華碩 Pro WS W790E-SAGE SE(EEB/8*DDR5/2*Intel 10G+LAN 1Gb)14+1+1功率級,$39990 ◆ ★
華擎 W790 WS(EEB/8*DDR5/2*Marvell 10G+Intel 2.5Gb+無線)20+2相供電,$34990 ◆ ★ ↓任搭500↓
華碩 PRIME H610I-PLUS-CSM(DDR5)(Mini-ITX/Intel 1Gb/註四年)5+1+1相供電,$3590 ◆ ★
華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),$2990 ◆ ★
[裝機價] 華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),$2390 ◆ ★ 熱賣
華碩 PRIME H610M-E-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),$3090 ◆ ★
微星 PRO H610M-E(M-ATX/LAN 1Gb/註四年/2DIMM)6+1+1 相電源,$2290 ◆ ★
